Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total,
10/26/2020,Monday,11:30 AM,2,0,0,0,2,4,
10/26/2020,Monday,12:30 PM,2,0,0,0,2,4,
10/26/2020,Monday,12:30 PM,2,0,0,0,0,2,
10/26/2020,Monday,1:30 PM,5,0,0,0,1,6,
10/26/2020,Monday,2:30 PM,3,0,0,0,1,4,
10/26/2020,Monday,3:30 PM,4,0,0,0,1,5,
10/26/2020,Monday,4:30 PM,4,0,2,0,0,6,
10/26/2020,Monday,5:30 PM,2,0,1,0,0,3,
10/26/2020,Monday,6:30 PM,5,0,2,0,0,7,
10/26/2020,Monday,7:30 PM,8,0,4,0,0,12,
10/27/2020,Tuesday,7:30 AM,0,0,0,0,0,0,
10/27/2020,Tuesday,8:30 AM,3,0,0,0,0,3,
10/27/2020,Tuesday,9:30 AM,4,0,0,0,1,5,
10/27/2020,Tuesday,10:30 AM,4,0,0,0,0,4,
10/27/2020,Tuesday,10:30 AM,4,0,0,0,0,4,
10/27/2020,Tuesday,11:30 AM,5,0,0,0,0,5,
10/27/2020,Tuesday,12:30 PM,5,0,0,0,0,5,
10/27/2020,Tuesday,1:30 PM,6,0,3,0,1,10,
10/27/2020,Tuesday,3:30 PM,4,0,2,0,0,6,
10/27/2020,Tuesday,4:30 PM,4,0,1,0,0,5,
10/27/2020,Tuesday,5:30 PM,2,0,0,0,0,2,
10/27/2020,Tuesday,6:30 PM,3,0,1,0,0,4,
10/27/2020,Tuesday,7:30 PM,1,0,0,0,0,1,
10/28/2020,Wednesday,7:30 AM,0,0,0,0,0,0,
10/28/2020,Wednesday,8:30 AM,1,0,0,0,0,1,
10/28/2020,Wednesday,9:30 AM,2,0,0,0,0,2,
10/28/2020,Wednesday,10:30 AM,2,0,0,0,0,2,
10/28/2020,Wednesday,11:30 AM,10,0,0,0,1,11,
10/28/2020,Wednesday,12:30 PM,10,0,0,0,0,10,
10/28/2020,Wednesday,1:30 PM,3,0,0,0,0,3,
10/28/2020,Wednesday,2:30 PM,3,0,0,0,0,3,
10/28/2020,Wednesday,3:30 PM,3,0,0,0,0,3,
10/28/2020,Wednesday,4:30 PM,8,0,3,0,1,12,
10/28/2020,Wednesday,5:30 PM,6,0,3,0,0,9,
10/28/2020,Wednesday,6:30 PM,7,0,0,0,2,9,
10/28/2020,Wednesday,7:30 PM,3,0,1,0,1,5,
10/29/2020,Thursday,7:30 AM,0,0,0,0,0,0,
10/29/2020,Thursday,8:30 AM,3,0,0,0,0,3,
10/29/2020,Thursday,9:30 AM,6,0,0,0,0,6,
10/29/2020,Thursday,10:30 AM,4,0,0,0,0,4,
10/29/2020,Thursday,11:30 AM,4,0,0,0,0,4,
10/29/2020,Thursday,12:30 PM,7,0,0,0,0,7,
10/29/2020,Thursday,1:30 PM,4,0,0,0,0,4,
10/29/2020,Thursday,2:30 PM,3,0,3,0,0,6,
10/29/2020,Thursday,3:30 PM,3,0,1,0,0,4,
10/29/2020,Thursday,3:30 PM,4,0,1,0,2,7,
10/29/2020,Thursday,4:30 PM,4,0,1,0,2,7,
10/29/2020,Thursday,5:30 PM,6,0,2,0,0,8,
10/29/2020,Thursday,6:30 PM,6,0,1,0,0,7,
10/29/2020,Thursday,7:30 PM,2,0,1,0,0,3,
10/30/2020,Friday,7:30 AM,1,0,0,0,0,1,
10/30/2020,Friday,8:30 AM,1,0,0,0,0,1,
10/30/2020,Friday,9:30 AM,2,0,1,0,0,3,
10/30/2020,Friday,10:30 AM,2,0,1,0,0,3,
10/30/2020,Friday,11:30 AM,2,0,0,0,5,7,
10/30/2020,Friday,12:30 PM,3,0,1,0,6,10,
10/30/2020,Friday,1:30 PM,3,0,1,0,1,5,
10/30/2020,Friday,2:30 PM,4,0,2,0,0,6,
10/30/2020,Friday,3:30 PM,2,0,3,0,0,5,
10/30/2020,Friday,4:30 PM,5,0,4,0,2,11,
10/30/2020,Friday,5:30 PM,6,0,2,0,0,8,
10/30/2020,Friday,6:30 PM,5,0,4,0,0,9,
10/30/2020,Friday,6:30 PM,0,0,2,0,0,2,
10/31/2020,Saturday,9:30 AM,0,0,0,0,0,0,
10/31/2020,Saturday,10:30 AM,1,0,0,0,0,1,
10/31/2020,Saturday,11:30 AM,2,0,0,0,0,2,
10/31/2020,Saturday,12:30 PM,2,0,1,0,1,4,
10/31/2020,Saturday,1:30 PM,2,0,1,0,0,3,
10/31/2020,Saturday,2:30 PM,3,0,1,0,0,4,
11/2/2020,Monday,7:30 AM,0,0,0,0,0,0,
11/2/2020,Monday,8:30 AM,1,0,0,0,0,1,
