Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
11/19/2019,Tuesday,11:30 AM,25,10,18,6,0,59
11/19/2019,Tuesday,12:30 PM,37,10,38,12,5,102
11/19/2019,Tuesday,1:30 PM,21,11,23,4,6,65
11/19/2019,Tuesday,2:30 PM,23,5,11,1,2,42
11/19/2019,Tuesday,3:30 PM,26,3,9,4,4,46
11/20/2019,Wednesday,7:30 AM,3,0,0,0,0,3
11/20/2019,Wednesday,8:30 AM,14,3,9,1,0,27
11/20/2019,Wednesday,9:30 AM,25,3,17,0,0,45
11/20/2019,Wednesday,10:30 AM,28,6,25,2,3,64
11/20/2019,Wednesday,11:30 AM,27,9,16,6,0,58
11/20/2019,Wednesday,12:30 PM,45,12,40,5,0,102
11/20/2019,Wednesday,1:30 PM,24,8,20,5,0,57
11/20/2019,Wednesday,2:30 PM,18,10,14,9,3,54
11/20/2019,Wednesday,3:30 PM,27,8,15,7,0,57
11/20/2019,Wednesday,4:30 PM,19,5,9,8,2,43
11/20/2019,Wednesday,5:30 PM,18,5,16,2,2,43
11/20/2019,Wednesday,7:30 PM,10,3,7,2,0,22
11/21/2019,Thursday,7:30 AM,3,0,0,0,0,3
11/21/2019,Thursday,8:30 AM,11,3,4,2,0,20
11/21/2019,Thursday,9:30 AM,16,4,9,3,0,32
11/21/2019,Thursday,10:30 AM,18,6,13,5,0,42
11/21/2019,Thursday,1:30 PM,14,5,23,7,0,49
11/21/2019,Thursday,2:30 PM,19,2,16,4,1,42
11/21/2019,Thursday,3:30 PM,17,4,18,4,2,45
11/21/2019,Thursday,5:30 PM,16,3,8,8,0,35
11/21/2019,Thursday,6:30 PM,7,5,3,7,1,23
11/21/2019,Thursday,7:30 PM,3,0,4,2,1,10
11/22/2019,Friday,7:30 AM,1,0,0,0,0,1
11/22/2019,Friday,9:30 AM,11,4,1,1,2,19
11/22/2019,Friday,10:30 AM,15,4,2,2,0,23
11/22/2019,Friday,11:30 AM,13,2,14,2,1,32
11/22/2019,Friday,5:30 PM,6,3,4,5,2,20
11/22/2019,Friday,6:30 PM,6,2,3,3,0,14
11/23/2019,Saturday,9:30 AM,1,0,0,0,0,1
11/23/2019,Saturday,10:30 AM,6,0,3,0,0,9
11/23/2019,Saturday,11:30 AM,7,1,6,0,1,15
11/23/2019,Saturday,12:30 PM,7,2,8,1,0,18
11/23/2019,Saturday,2:30 PM,6,1,7,0,0,14
11/23/2019,Saturday,3:30 PM,7,1,4,0,0,12
11/23/2019,Saturday,4:30 PM,5,0,4,1,1,11
11/25/2019,Monday,7:30 AM,2,0,0,0,0,2
11/25/2019,Monday,8:30 AM,8,4,7,0,0,19
11/25/2019,Monday,9:30 AM,16,6,10,5,0,37
11/25/2019,Monday,10:30 AM,21,11,21,2,0,55
11/25/2019,Monday,11:30 AM,27,7,26,2,0,62
11/25/2019,Monday,12:30 PM,40,14,38,2,0,94
11/25/2019,Monday,1:30 PM,24,8,11,5,3,51
11/25/2019,Monday,3:30 PM,15,9,7,1,0,32
11/25/2019,Monday,5:30 PM,15,6,6,6,2,35
11/25/2019,Monday,6:30 PM,8,3,4,4,0,19
11/25/2019,Monday,7:30 PM,5,3,11,2,0,21
11/25/2019,Monday,8:30 PM,2,1,5,1,0,9
11/26/2019,Tuesday,7:30 AM,1,1,0,0,0,2
11/26/2019,Tuesday,8:30 AM,3,2,4,7,0,16
11/26/2019,Tuesday,9:30 AM,20,7,8,0,1,36
11/26/2019,Tuesday,10:30 AM,18,5,17,4,0,44
11/26/2019,Tuesday,11:30 AM,26,8,13,4,3,54
11/26/2019,Tuesday,12:30 PM,26,8,23,6,2,65
11/26/2019,Tuesday,1:30 PM,24,5,7,3,3,42
11/26/2019,Tuesday,6:30 PM,10,4,6,0,0,20
12/2/2019,Monday,7:30 AM,2,0,0,0,0,2
12/2/2019,Monday,8:30 AM,13,4,4,0,0,21
12/2/2019,Monday,10:30 AM,33,6,29,4,0,72
12/2/2019,Monday,11:30 AM,38,9,21,8,0,76
12/2/2019,Monday,12:30 PM,53,13,46,7,0,119
