Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
7/23/2019,Tuesday,9:30 AM,5,0,4,2,1,12
7/23/2019,Tuesday,10:30 AM,8,0,4,0,0,12
7/23/2019,Tuesday,11:30 AM,10,3,5,1,0,19
7/23/2019,Tuesday,12:30 PM,17,3,6,3,0,29
7/23/2019,Tuesday,1:30 PM,13,1,3,2,0,19
7/23/2019,Tuesday,2:30 PM,14,1,6,2,3,26
7/23/2019,Tuesday,4:30 PM,10,2,6,1,0,19
7/23/2019,Tuesday,5:30 PM,16,3,8,0,1,28
7/23/2019,Tuesday,7:30 PM,3,2,6,2,0,13
7/23/2019,Tuesday,8:30 PM,4,0,5,0,0,9
7/24/2019,Wednesday,7:30 AM,1,0,0,0,0,1
7/24/2019,Wednesday,8:30 AM,10,0,8,1,0,19
7/24/2019,Wednesday,9:30 AM,5,1,3,1,2,12
7/24/2019,Wednesday,10:30 AM,9,1,7,2,0,19
7/24/2019,Wednesday,11:30 AM,10,3,6,0,0,19
7/24/2019,Wednesday,12:30 PM,16,2,8,0,0,26
7/24/2019,Wednesday,1:30 PM,9,3,1,0,0,13
7/24/2019,Wednesday,2:30 PM,10,3,3,0,0,16
7/24/2019,Wednesday,5:30 PM,16,2,6,0,0,24
7/24/2019,Wednesday,6:30 PM,16,2,5,1,2,26
7/24/2019,Wednesday,8:30 PM,6,1,3,4,0,14
7/25/2019,Thursday,7:30 AM,0,0,0,0,0,0
7/25/2019,Thursday,8:30 AM,3,0,4,0,0,7
7/25/2019,Thursday,9:30 AM,1,0,1,0,0,2
7/25/2019,Thursday,10:30 AM,7,2,6,0,0,15
7/25/2019,Thursday,11:30 AM,12,1,4,2,0,19
7/25/2019,Thursday,12:30 PM,14,2,8,1,0,25
7/25/2019,Thursday,1:30 PM,6,0,5,1,0,12
7/25/2019,Thursday,2:30 PM,10,1,4,6,1,22
7/25/2019,Thursday,4:30 PM,8,0,9,4,0,21
7/25/2019,Thursday,6:30 PM,6,1,2,0,0,9
7/25/2019,Thursday,7:30 PM,6,0,4,0,0,10
7/25/2019,Thursday,8:30 PM,2,0,4,0,0,6
7/26/2019,Friday,8:30 AM,1,0,2,0,0,3
7/26/2019,Friday,9:30 AM,4,0,3,0,0,7
7/26/2019,Friday,10:30 AM,4,0,1,2,0,7
7/26/2019,Friday,11:30 AM,3,0,2,2,0,7
7/26/2019,Friday,12:30 PM,7,2,2,0,0,11
