Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Submitted By,timestamp,Total
2021-05-26,Wednesday,2:30 PM,3,0,0,0,0,Library Counts User,05-26-2021 2:31:59,3
2021-05-26,Wednesday,3:30 PM,2,0,0,0,0,Library Counts User,05-26-2021 3:31:28,2
2021-05-26,Wednesday,4:30 PM,1,0,0,1,0,Library Counts User,05-26-2021 4:30:50,2
2021-05-26,Wednesday,4:30 PM,1,0,0,1,0,Library Counts User,05-26-2021 5:32:35,2
2021-05-27,Thursday,7:30 AM,0,0,0,0,1,Library Counts User,05-27-2021 7:37:21,1
2021-05-27,Thursday,8:30 AM,2,0,0,0,0,Library Counts User,05-27-2021 8:43:18,2
2021-05-27,Thursday,9:30 AM,0,0,0,0,0,Library Counts User,05-27-2021 9:30:06,0
2021-05-27,Thursday,10:30 AM,0,0,0,0,1,Library Counts User,05-27-2021 10:30:20,1
2021-05-27,Thursday,12:30 PM,5,0,0,0,0,Library Counts User,05-27-2021 12:29:43,5
2021-05-27,Thursday,1:30 PM,1,0,0,1,0,Library Counts User,05-27-2021 1:28:22,2
2021-05-27,Thursday,2:30 PM,1,0,0,1,0,Library Counts User,05-27-2021 2:30:16,2
2021-05-27,Thursday,3:30 PM,0,0,0,0,0,Library Counts User,05-27-2021 3:30:18,0
2021-05-27,Thursday,4:30 PM,2,0,0,0,0,Library Counts User,05-27-2021 4:29:38,2
2021-05-27,Thursday,5:30 PM,3,0,0,0,0,Library Counts User,05-27-2021 5:30:37,3
2021-05-27,Thursday,5:30 PM,1,0,0,0,0,Library Counts User,05-27-2021 5:42:20,1
2021-05-28,Friday,7:30 AM,1,0,0,0,0,Library Counts User,05-28-2021 8:04:27,1
2021-05-28,Friday,8:30 AM,1,0,0,0,0,Library Counts User,05-28-2021 8:27:28,1
2021-05-28,Friday,9:30 AM,1,0,0,0,0,Library Counts User,05-28-2021 9:32:46,1
2021-05-28,Friday,10:30 AM,1,0,0,0,0,Library Counts User,05-28-2021 10:29:02,1
2021-05-28,Friday,10:30 AM,2,0,0,0,0,Library Counts User,05-28-2021 10:49:07,2
2021-05-28,Friday,11:30 AM,3,0,0,0,0,Library Counts User,05-28-2021 11:30:03,3
2021-05-28,Friday,12:30 PM,1,0,0,0,0,Library Counts User,05-28-2021 12:31:45,1
2021-05-28,Friday,2:30 PM,1,0,0,0,0,Library Counts User,05-28-2021 3:06:38,1
2021-05-28,Friday,3:30 PM,1,0,0,0,0,Library Counts User,05-28-2021 3:32:26,1
