Date,DayOfWeek,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2019-10-16,Wednesday,6:30 PM,12,2,2,3,2,21,10/16/2019
2019-10-16,Wednesday,7:30 PM,5,1,8,2,3,19,10/16/2019
2019-10-16,Wednesday,8:30 PM,6,1,0,0,3,10,10/16/2019
2019-10-17,Thursday,9:30 AM,17,9,10,7,4,47,10/17/2019
2019-10-17,Thursday,10:30 AM,31,7,11,6,5,60,10/17/2019
2019-10-17,Thursday,11:30 AM,20,5,13,9,5,52,10/17/2019
2019-10-17,Thursday,1:30 PM,22,5,5,7,2,41,10/17/2019
2019-10-17,Thursday,2:30 PM,19,9,7,4,2,41,10/17/2019
2019-10-17,Thursday,3:30 PM,8,5,11,4,3,31,10/17/2019
2019-10-17,Thursday,4:30 PM,10,6,7,9,2,34,10/17/2019
2019-10-17,Thursday,5:30 PM,11,10,6,6,3,36,10/17/2019
2019-10-17,Thursday,6:30 PM,4,3,1,7,2,17,10/17/2019
2019-10-17,Thursday,7:30 PM,3,2,1,2,0,8,10/17/2019
2019-10-17,Thursday,8:30 PM,6,2,1,0,0,9,10/17/2019
2019-10-18,Friday,8:30 AM,5,0,3,2,3,13,10/18/2019
2019-10-18,Friday,9:30 AM,5,0,0,1,0,6,10/18/2019
2019-10-18,Friday,10:30 AM,5,0,2,2,0,9,10/18/2019
2019-10-18,Friday,11:30 PM,7,1,0,0,0,8,10/18/2019
2019-10-18,Friday,12:30 AM,7,1,2,0,4,14,10/18/2019
2019-10-18,Friday,1:30 AM,8,0,4,4,0,16,10/18/2019
2019-10-18,Friday,2:30 AM,9,2,10,2,1,24,10/18/2019
2019-10-18,Friday,3:30 PM,4,1,6,1,1,13,10/18/2019
2019-10-18,Friday,4:30 PM,5,0,3,0,0,8,10/18/2019
2019-10-19,Saturday,10:30 AM,1,1,0,0,0,2,10/19/2019
2019-10-19,Saturday,11:30 AM,2,1,2,1,0,6,10/19/2019
2019-10-19,Saturday,11:30 AM,3,1,2,0,0,6,10/19/2019
2019-10-19,Saturday,12:30 PM,4,1,2,0,1,8,10/19/2019
2019-10-19,Saturday,12:30 PM,5,0,3,1,1,10,10/19/2019
2019-10-19,Saturday,1:30 PM,6,0,3,0,1,10,10/19/2019
2019-10-21,Monday,8:30 AM,14,6,2,3,12,37,10/21/2019
2019-10-21,Monday,9:30 AM,13,5,2,11,2,33,10/21/2019
2019-10-21,Monday,10:30 AM,36,12,6,10,5,69,10/21/2019
2019-10-21,Monday,11:30 AM,20,9,23,20,5,77,10/21/2019
2019-10-21,Monday,12:30 PM,31,22,9,22,11,95,10/21/2019
2019-10-21,Monday,1:30 PM,21,10,13,14,7,65,10/21/2019
2019-10-21,Monday,2:30 PM,21,11,14,15,3,64,10/21/2019
2019-10-21,Monday,5:30 PM,17,4,8,7,5,41,10/21/2019
2019-10-21,Monday,6:30 PM,5,0,15,3,1,24,10/21/2019
2019-10-21,Monday,7:30 PM,5,1,9,1,2,18,10/21/2019
2019-10-21,Monday,8:30 PM,4,3,5,0,0,12,10/21/2019
2019-10-22,Tuesday,8:30 AM,10,4,6,3,4,27,10/22/2019
2019-10-22,Tuesday,9:30 AM,24,5,6,5,3,43,10/22/2019
2019-10-22,Tuesday,10:30 AM,25,5,8,11,6,55,10/22/2019
2019-10-22,Tuesday,12:30 PM,39,19,5,17,2,82,10/22/2019
2019-10-22,Tuesday,1:30 PM,19,7,5,15,7,53,10/22/2019
2019-10-22,Tuesday,1:30 PM,29,9,10,7,1,56,10/22/2019
2019-10-22,Tuesday,3:30 PM,12,7,22,6,5,52,10/22/2019
2019-10-22,Tuesday,4:30 PM,16,5,12,11,3,47,10/22/2019
2019-10-22,Tuesday,5:30 PM,16,9,2,12,4,43,10/22/2019
2019-10-22,Tuesday,6:30 PM,8,1,25,8,4,46,10/22/2019
2019-10-22,Tuesday,7:30 PM,9,1,6,4,2,22,10/22/2019
2019-10-22,Tuesday,8:30 PM,5,0,0,1,0,6,10/22/2019
2019-10-23,Wednesday,8:30 AM,14,4,6,12,3,39,10/23/2019
2019-10-23,Wednesday,9:30 AM,27,2,3,12,2,46,10/23/2019
2019-10-23,Wednesday,10:30 AM,23,4,4,11,2,44,10/23/2019
2019-10-23,Wednesday,11:30 AM,22,16,7,15,5,65,10/23/2019
2019-10-23,Wednesday,12:30 PM,26,18,8,20,10,82,10/23/2019
2019-10-23,Wednesday,1:30 PM,15,6,5,15,3,44,10/23/2019
2019-10-23,Wednesday,2:30 PM,19,9,6,9,2,45,10/23/2019
2019-10-23,Wednesday,3:30 PM,19,7,4,9,4,43,10/23/2019
2019-10-23,Wednesday,4:30 PM,12,3,5,11,2,33,10/23/2019
2019-10-23,Wednesday,5:30 PM,23,5,6,12,3,49,10/23/2019
2019-10-23,Wednesday,6:30 PM,7,2,2,2,0,13,10/23/2019
2019-10-23,Wednesday,7:30 PM,6,2,2,2,0,12,10/23/2019
2019-10-23,Wednesday,8:30 PM,4,1,2,1,0,8,10/23/2019
2019-10-24,Thursday,8:30 AM,10,4,4,4,4,26,10/24/2019
2019-10-24,Thursday,9:30 AM,19,4,6,9,5,43,10/24/2019
2019-10-24,Thursday,10:30 AM,20,6,8,11,4,49,10/24/2019
2019-10-24,Thursday,11:30 AM,14,7,20,15,5,61,10/24/2019
2019-10-24,Thursday,12:30 PM,26,7,13,16,5,67,10/24/2019
2019-10-24,Thursday,1:30 PM,16,5,2,11,3,37,10/24/2019
2019-10-24,Thursday,2:30 PM,20,3,2,7,4,36,10/24/2019
2019-10-24,Thursday,3:30 PM,10,7,5,7,4,33,10/24/2019
2019-10-24,Thursday,4:30 PM,13,9,3,7,3,35,10/24/2019
2019-10-24,Thursday,5:30 PM,16,4,3,6,4,33,10/24/2019
2019-10-24,Thursday,6:30 PM,10,6,0,0,2,18,10/24/2019
