Semester,Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
Spring 2019,1/30/2019,Wednesday,7:30 PM,9,5,2,6,0,22
Spring 2019,1/30/2019,Wednesday,8:30 PM,4,4,3,3,0,14
Spring 2019,1/31/2019,Thursday,7:30 AM,4,0,0,0,0,4
Spring 2019,1/31/2019,Thursday,8:30 AM,5,0,7,2,2,16
Spring 2019,1/31/2019,Thursday,9:30 AM,17,3,20,2,1,43
Spring 2019,1/31/2019,Thursday,10:30 AM,29,3,29,8,3,72
Spring 2019,1/31/2019,Thursday,11:30 AM,18,4,20,3,2,47
Spring 2019,1/31/2019,Thursday,12:30 PM,34,5,47,8,5,99
Spring 2019,1/31/2019,Thursday,1:30 PM,10,7,18,1,2,38
Spring 2019,1/31/2019,Thursday,3:30 PM,15,7,13,5,0,40
Spring 2019,1/31/2019,Thursday,4:30 PM,26,8,11,4,0,49
Spring 2019,1/31/2019,Thursday,5:30 PM,11,5,9,4,0,29
Spring 2019,1/31/2019,Thursday,6:30 PM,8,1,1,2,0,12
Spring 2019,1/31/2019,Thursday,7:30 PM,8,0,1,1,0,10
Spring 2019,1/31/2019,Thursday,8:30 PM,8,0,1,1,0,10
Spring 2019,2/1/2019,Friday,7:30 AM,1,0,0,0,0,1
Spring 2019,2/1/2019,Friday,8:30 AM,3,1,0,0,0,4
Spring 2019,2/1/2019,Friday,9:30 AM,2,3,0,0,0,5
Spring 2019,2/1/2019,Friday,11:30 AM,7,2,2,0,1,12
Spring 2019,2/1/2019,Friday,12:30 PM,11,3,6,0,0,20
Spring 2019,2/1/2019,Friday,5:30 PM,9,3,4,2,0,18
Spring 2019,2/1/2019,Friday,6:30 PM,7,3,7,0,0,17
Spring 2019,2/1/2019,Friday,7:30 PM,7,3,6,0,1,17
Spring 2019,2/1/2019,Friday,8:30 PM,1,3,5,0,0,9
Spring 2019,2/2/2019,Saturday,9:30 AM,2,0,2,0,0,4
Spring 2019,2/2/2019,Saturday,10:30 AM,2,0,8,0,0,10
Spring 2019,2/2/2019,Saturday,12:30 PM,17,3,9,2,0,31
Spring 2019,2/2/2019,Saturday,1:30 PM,10,2,9,3,0,24
Spring 2019,2/2/2019,Saturday,2:30 PM,15,2,4,0,0,21
Spring 2019,2/2/2019,Saturday,3:30 PM,14,2,8,0,0,24
Spring 2019,2/2/2019,Saturday,4:30 PM,11,2,9,0,2,24
Spring 2019,2/2/2019,Saturday,5:30 PM,2,0,0,0,0,2
Spring 2019,2/4/2019,Monday,7:30 AM,6,0,0,0,0,6
Spring 2019,2/4/2019,Monday,8:30 AM,11,3,10,1,0,25
Spring 2019,2/4/2019,Monday,9:30 AM,29,3,18,6,0,56
Spring 2019,2/4/2019,Monday,10:30 AM,20,6,26,8,0,60
Spring 2019,2/4/2019,Monday,11:30 AM,23,5,19,3,2,52
Spring 2019,2/4/2019,Monday,12:30 PM,42,13,41,16,10,122
Spring 2019,2/4/2019,Monday,1:30 PM,25,8,20,5,0,58
Spring 2019,2/4/2019,Monday,2:30 PM,24,8,15,4,2,53
Spring 2019,2/4/2019,Monday,3:30 PM,14,4,12,1,2,33
Spring 2019,2/4/2019,Monday,4:30 PM,16,4,13,0,0,33
Spring 2019,2/4/2019,Monday,5:30 PM,26,6,17,4,0,53
Spring 2019,2/4/2019,Monday,6:30 PM,16,5,12,7,0,40
Spring 2019,2/4/2019,Monday,7:30 PM,14,3,11,4,2,34
Spring 2019,2/4/2019,Monday,8:30 PM,16,2,9,2,0,29
Spring 2019,2/5/2019,Tuesday,8:30 AM,11,4,7,3,0,25
Spring 2019,2/5/2019,Tuesday,9:30 AM,13,5,22,6,1,47
Spring 2019,2/5/2019,Tuesday,10:30 AM,29,9,26,10,4,78
Spring 2019,2/5/2019,Tuesday,11:30 AM,14,4,15,6,2,41
Spring 2019,2/5/2019,Tuesday,12:30 PM,33,11,39,7,7,97
Spring 2019,2/5/2019,Tuesday,1:30 PM,19,9,23,2,0,53
Spring 2019,2/5/2019,Tuesday,3:30 PM,18,7,13,8,1,47
Spring 2019,2/5/2019,Tuesday,4:30 PM,23,4,9,5,1,42
Spring 2019,2/5/2019,Tuesday,5:30 PM,11,7,13,5,0,36
Spring 2019,2/5/2019,Tuesday,6:30 PM,7,3,5,2,0,17
Spring 2019,2/5/2019,Tuesday,7:30 PM,7,3,4,3,3,20
Spring 2019,2/5/2019,Tuesday,8:30 PM,4,2,5,0,0,11
Spring 2019,2/6/2019,Wednesday,7:30 AM,2,0,0,0,0,2
Spring 2019,2/6/2019,Wednesday,8:30 AM,16,3,10,3,0,32
Spring 2019,2/6/2019,Wednesday,9:30 AM,30,4,15,7,0,56
Spring 2019,2/6/2019,Wednesday,10:30 AM,33,6,23,9,3,74
Spring 2019,2/6/2019,Wednesday,12:30 PM,22,3,24,7,2,58
Spring 2019,2/6/2019,Wednesday,1:30 PM,22,7,17,2,0,48
Spring 2019,2/6/2019,Wednesday,2:30 PM,21,3,21,4,0,49
Spring 2019,2/6/2019,Wednesday,3:30 PM,21,4,14,1,5,45
Spring 2019,2/6/2019,Wednesday,5:30 PM,16,4,14,4,0,38
Spring 2019,2/6/2019,Wednesday,6:30 PM,14,4,10,4,0,32
Spring 2019,2/6/2019,Wednesday,7:30 PM,4,2,8,1,0,15
Spring 2019,2/6/2019,Wednesday,8:30 PM,9,2,6,2,0,19
Spring 2019,2/7/2019,Thursday,7:30 AM,2,0,0,0,1,3
Spring 2019,2/7/2019,Thursday,8:30 AM,12,2,2,4,0,20
Spring 2019,2/7/2019,Thursday,9:30 AM,18,3,18,1,2,42
Spring 2019,2/7/2019,Thursday,10:30 AM,28,7,30,7,2,74
Spring 2019,2/7/2019,Thursday,12:30 PM,37,12,42,8,7,106
Spring 2019,2/7/2019,Thursday,1:30 PM,20,11,12,5,2,50
Spring 2019,2/7/2019,Thursday,2:30 PM,16,3,16,7,2,44
Spring 2019,2/7/2019,Thursday,3:30 PM,18,4,11,5,0,38
Spring 2019,2/7/2019,Thursday,4:30 PM,10,2,15,5,2,34
Spring 2019,2/7/2019,Thursday,5:30 PM,4,3,10,4,0,21
Spring 2019,2/7/2019,Thursday,6:30 PM,8,4,4,0,0,16
Spring 2019,2/7/2019,Thursday,7:30 PM,10,2,4,2,0,18
Spring 2019,2/7/2019,Thursday,8:30 PM,8,1,1,2,0,12
Spring 2019,2/8/2019,Friday,7:30 AM,1,0,0,0,0,1
Spring 2019,2/8/2019,Friday,8:30 AM,6,0,0,0,0,6
Spring 2019,2/8/2019,Friday,10:30 AM,14,1,3,2,0,20
Spring 2019,2/8/2019,Friday,12:30 PM,11,3,3,0,1,18
Spring 2019,2/8/2019,Friday,1:30 PM,8,3,3,1,2,17
Spring 2019,2/8/2019,Friday,2:30 PM,5,1,5,0,1,12
Spring 2019,2/8/2019,Friday,5:30 PM,8,3,2,3,0,16
Spring 2019,2/8/2019,Friday,6:30 PM,9,3,5,2,0,19
Spring 2019,2/8/2019,Friday,7:30 PM,6,2,4,0,0,12
Spring 2019,2/8/2019,Friday,8:30 PM,7,2,3,0,0,12
Spring 2019,2/9/2019,Saturday,9:30 AM,4,0,1,0,0,5
Spring 2019,2/9/2019,Saturday,10:30 AM,2,0,6,0,0,8
Spring 2019,2/9/2019,Saturday,11:30 AM,4,1,5,0,0,10
Spring 2019,2/9/2019,Saturday,12:30 PM,5,7,7,4,0,23
Spring 2019,2/9/2019,Saturday,2:30 PM,9,3,6,0,0,18
Spring 2019,2/9/2019,Saturday,3:30 PM,10,2,5,1,0,18
Spring 2019,2/9/2019,Saturday,4:30 PM,8,3,5,0,0,16
Spring 2019,2/11/2019,Monday,7:30 AM,3,0,1,0,0,4
Spring 2019,2/11/2019,Monday,8:30 AM,15,1,4,1,0,21
Spring 2019,2/11/2019,Monday,9:30 AM,15,3,11,5,2,36
Spring 2019,2/11/2019,Monday,11:30 AM,25,5,27,16,4,77
Spring 2019,2/11/2019,Monday,1:30 PM,30,6,21,9,3,69
Spring 2019,2/11/2019,Monday,2:30 PM,27,9,28,3,4,71
Spring 2019,2/11/2019,Monday,3:30 PM,14,7,14,2,0,37
